Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00656870351939786,-7.67784056600918E-05,0.0386933672128964,0,0,0,5.76939415331174,0.0364585376862836,0.00079967189831831,-4.14161585296653E-05,0.0364585376862836,-4.14161585296622E-05,0.0665644380651611,0,0,0,0,0,0,package://asseyend/meshes/base_link.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://asseyend/meshes/base_link.STL,,Component_1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
c1,-0.0591888309379308,-0.00400053036941213,0.0849442671080836,0,0,0,2.39364181041843,0.00499410003296028,-0.000109635040146548,0.00169946708371175,0.009161860285125,7.33126840235941E-05,0.00869780400381183,0,0,0,0,0,0,package://asseyend/meshes/c1.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://asseyend/meshes/c1.STL,,Component_2-1,Origin_m1,Axis_m1,m1,continuous,0.0051422,-0.0015032,0.084,0,0,1.2128,base_link,0,0,1,,,,,,,,,,,,
c2,-0.149076769615548,-0.00825694254505338,0.0371212976814389,0,0,0,0.92753935043736,0.000552993584997618,-0.000211380216192206,4.87391187236814E-05,0.0179557612133148,-9.32892538000452E-06,0.018242540789793,0,0,0,0,0,0,package://asseyend/meshes/c2.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://asseyend/meshes/c2.STL,,Component_3-1,Origin_m2,Axis_m2,m2,continuous,-0.15,0,0.16,1.5708,1.175,-3.1416,c1,0,0,1,,,,,,,,,,,,
c3,0.0403845486641832,0.032416951867913,0.0385515354076685,0,0,0,1.39795501582072,0.00195933427531133,-0.00016780033614291,-0.00038603040767962,0.00749990017893449,-0.000191170868309335,0.00716509595786076,0,0,0,0,0,0,package://asseyend/meshes/c3.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://asseyend/meshes/c3.STL,,Component_4-1,Origin_m3,Axis_m3,m3,continuous,-0.35,0,0,-1.5708,0,1.0293,c2,0,1,0,,,,,,,,,,,,
c4,-0.13365510843076,1.86691062054045E-08,-2.3384296097273E-06,0,0,0,0.55094055098402,0.000513531257896778,6.74179397170663E-10,-1.4056903164374E-08,0.00131606984706943,6.35796368895006E-12,0.00145535507428438,0,0,0,0,0,0,package://asseyend/meshes/c4.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://asseyend/meshes/c4.STL,,Component_5-1,Origin_m4,Axis_m4,m4,continuous,0.18049,0.0355,0.045291,2.4013,0,3.1416,c3,1,0,0,,,,,,,,,,,,
c5,-1.43534917840249E-08,-0.0581645078841896,-3.27619115170208E-09,0,0,0,0.336411503258623,0.000361384811823778,-7.75585980462563E-11,7.99521813839754E-13,0.000239673115718051,1.64430557208288E-11,0.00035887115103781,0,0,0,0,0,0,package://asseyend/meshes/c5.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://asseyend/meshes/c5.STL,,Component_6-1,Origin_m5,Axis_m5,m5,continuous,-0.17922,0,0,-1.4616,0,-1.5708,c4,1,0,0,,,,,,,,,,,,
c6,-1.28699434442936E-08,2.25543661525052E-09,0.00218741900175046,0,0,0,0.0627451477183633,2.222165561803E-05,4.24904096977386E-12,2.7048264141156E-12,2.22216987648166E-05,3.71322891607607E-12,3.39790255431213E-05,0,0,0,0,0,0,package://asseyend/meshes/c6.STL,0.627450980392157,0.627450980392157,0.627450980392157,1,0,0,0,0,0,0,package://asseyend/meshes/c6.STL,,End_Effector_For_Gecko_Gripper-1,Origin_m6,Axis_m6,m6,continuous,0,-0.10858,0,-1.5708,0.0019925,0,c5,0,0,1,,,,,,,,,,,,
c7,7.1731293488364E-08,6.89943513432212E-09,-0.0315486348318286,0,0,0,0.134102855738052,0.000112174706955116,-1.85151935998978E-12,-1.20786152061918E-10,0.000112174485059579,-2.0688511972631E-11,4.70371510913099E-05,0,0,0,0,0,0,package://asseyend/meshes/c7.STL,0.796078431372549,0.796078431372549,0.796078431372549,1,0,0,0,0,0,0,package://asseyend/meshes/c7.STL,,gecko_Gripper-1,Origin_m7,,m7,fixed,0,0,-0.019417,0,0,1.0472,c6,0,0,0,,,,,,,,,,,,
